Folder,Filename,Title,Author,License,Sketchfab Link,Attribution,Lookup Method
Buildings,the_view_building.glb,The View Building,Metaroy (https://sketchfab.com/Metaroy),CC-BY-4.0 (http://creativecommons.org/licenses/by/4.0/),https://sketchfab.com/3d-models/the-view-building-2aca2dec7db84757b084358c70dccde6,"""The View Building"" by Metaroy (https://sketchfab.com/Metaroy) is licensed under CC-BY-4.0 (http://creativecommons.org/licenses/by/4.0/) (Source: https://sketchfab.com/3d-models/the-view-building-2aca2dec7db84757b084358c70dccde6)",internal
Buildings,tu_ducs_tomb_-_stele_building_cyark_dataset.glb,Tu Duc's Tomb - Stele Building (CyArk Dataset),Vasilis Haroupas (https://sketchfab.com/vashar),CC-BY-4.0 (http://creativecommons.org/licenses/by/4.0/),https://sketchfab.com/3d-models/tu-ducs-tomb-stele-building-cyark-dataset-b5d78ecd5e62483192d7ccd193bc063b,"""Tu Duc's Tomb - Stele Building (CyArk Dataset)"" by Vasilis Haroupas (https://sketchfab.com/vashar) is licensed under CC-BY-4.0 (http://creativecommons.org/licenses/by/4.0/) (Source: https://sketchfab.com/3d-models/tu-ducs-tomb-stele-building-cyark-dataset-b5d78ecd5e62483192d7ccd193bc063b)",internal
Buildings,urban_building.glb,Urban Building,nermin (https://sketchfab.com/nermin),CC-BY-SA-4.0 (http://creativecommons.org/licenses/by-sa/4.0/),https://sketchfab.com/3d-models/urban-building-05b4e6c6bdb4466ab94c449edd48380b,"""Urban Building"" by nermin (https://sketchfab.com/nermin) is licensed under CC-BY-SA-4.0 (http://creativecommons.org/licenses/by-sa/4.0/) (Source: https://sketchfab.com/3d-models/urban-building-05b4e6c6bdb4466ab94c449edd48380b)",internal
Buildings,urban_building_1.glb,Urban Building,nermin (https://sketchfab.com/nermin),CC-BY-4.0 (http://creativecommons.org/licenses/by/4.0/),https://sketchfab.com/3d-models/urban-building-69c1f4c79d4d457bb0e8e62e4e289587,"""Urban Building"" by nermin (https://sketchfab.com/nermin) is licensed under CC-BY-4.0 (http://creativecommons.org/licenses/by/4.0/) (Source: https://sketchfab.com/3d-models/urban-building-69c1f4c79d4d457bb0e8e62e4e289587)",internal
Buildings,warehouse_building.glb,Warehouse Building,rajibkc (https://sketchfab.com/rajibkc),CC-BY-4.0 (http://creativecommons.org/licenses/by/4.0/),https://sketchfab.com/3d-models/warehouse-building-08a4f422bc634033b8023d53beaf8242,"""Warehouse Building"" by rajibkc (https://sketchfab.com/rajibkc) is licensed under CC-BY-4.0 (http://creativecommons.org/licenses/by/4.0/) (Source: https://sketchfab.com/3d-models/warehouse-building-08a4f422bc634033b8023d53beaf8242)",internal
Buildings,warehouse_building_1.glb,Warehouse Building,OmegaRedZA (https://sketchfab.com/OmegaRedZA),CC-BY-4.0 (http://creativecommons.org/licenses/by/4.0/),https://sketchfab.com/3d-models/warehouse-building-0c37b0f92cb54e07a1e1c6c3df9f8439,"""Warehouse Building"" by OmegaRedZA (https://sketchfab.com/OmegaRedZA) is licensed under CC-BY-4.0 (http://creativecommons.org/licenses/by/4.0/) (Source: https://sketchfab.com/3d-models/warehouse-building-0c37b0f92cb54e07a1e1c6c3df9f8439)",internal
Buildings,whitehall_building.glb,Whitehall Building,novusod (https://sketchfab.com/novusod),CC-BY-4.0 (http://creativecommons.org/licenses/by/4.0/),https://sketchfab.com/3d-models/whitehall-building-d0db0e12b3484594a1c9eb35186b7c0f,"""Whitehall Building"" by novusod (https://sketchfab.com/novusod) is licensed under CC-BY-4.0 (http://creativecommons.org/licenses/by/4.0/) (Source: https://sketchfab.com/3d-models/whitehall-building-d0db0e12b3484594a1c9eb35186b7c0f)",internal
Communication Tower,40_meter_radiotower.glb,40 meter Radiotower,rsg3tank (https://sketchfab.com/rsg3tank),CC-BY-4.0 (http://creativecommons.org/licenses/by/4.0/),https://sketchfab.com/3d-models/40-meter-radiotower-ebf540e0aa444b068522464dbd22c832,"""40 meter Radiotower"" by rsg3tank (https://sketchfab.com/rsg3tank) is licensed under CC-BY-4.0 (http://creativecommons.org/licenses/by/4.0/) (Source: https://sketchfab.com/3d-models/40-meter-radiotower-ebf540e0aa444b068522464dbd22c832)",internal
Communication Tower,communication_tower.glb,Communication Tower,pablo.infate (https://sketchfab.com/pablo.infate),CC-BY-4.0 (http://creativecommons.org/licenses/by/4.0/),https://sketchfab.com/3d-models/communication-tower-759ecdfbe4aa4e6f88b1d3490a4cfd9f,"""Communication Tower"" by pablo.infate (https://sketchfab.com/pablo.infate) is licensed under CC-BY-4.0 (http://creativecommons.org/licenses/by/4.0/) (Source: https://sketchfab.com/3d-models/communication-tower-759ecdfbe4aa4e6f88b1d3490a4cfd9f)",internal
Communication Tower,communication_tower_5ft.glb,Communication Tower 5ft,admmalan (https://sketchfab.com/admmalan),CC-BY-4.0 (http://creativecommons.org/licenses/by/4.0/),https://sketchfab.com/3d-models/communication-tower-5ft-22f0638705aa46e1b21aa623eae7c27f,"""Communication Tower 5ft"" by admmalan (https://sketchfab.com/admmalan) is licensed under CC-BY-4.0 (http://creativecommons.org/licenses/by/4.0/) (Source: https://sketchfab.com/3d-models/communication-tower-5ft-22f0638705aa46e1b21aa623eae7c27f)",internal
Communication Tower,prefabbed_radio_tower_with_blankout_signs.glb,Prefabbed Radio Tower With Blankout signs,Mercuri-sodyum (https://sketchfab.com/-French-toast),CC-BY-4.0 (http://creativecommons.org/licenses/by/4.0/),https://sketchfab.com/3d-models/prefabbed-radio-tower-with-blankout-signs-7245c46eb1aa4a779e135ef29f1a8e37,"""Prefabbed Radio Tower With Blankout signs"" by Mercuri-sodyum (https://sketchfab.com/-French-toast) is licensed under CC-BY-4.0 (http://creativecommons.org/licenses/by/4.0/) (Source: https://sketchfab.com/3d-models/prefabbed-radio-tower-with-blankout-signs-7245c46eb1aa4a779e135ef29f1a8e37)",internal
Communication Tower,signal_tower.glb,signal tower,JoahnaMendienta (https://sketchfab.com/JoahnaMendienta),CC-BY-4.0 (http://creativecommons.org/licenses/by/4.0/),https://sketchfab.com/3d-models/signal-tower-3c5d9460767a4f0a878afbfddcf376fe,"""signal tower"" by JoahnaMendienta (https://sketchfab.com/JoahnaMendienta) is licensed under CC-BY-4.0 (http://creativecommons.org/licenses/by/4.0/) (Source: https://sketchfab.com/3d-models/signal-tower-3c5d9460767a4f0a878afbfddcf376fe)",internal
Radar Station,aerial_scan_radar_station_camp_hero_montauk_ny.glb,"Aerial Scan Radar Station Camp Hero, Montauk NY",tushevs (https://sketchfab.com/tushevs),CC-BY-4.0 (http://creativecommons.org/licenses/by/4.0/),https://sketchfab.com/3d-models/aerial-scan-radar-station-camp-hero-montauk-ny-cfcc5b989fa5450999ec1126e786a51d,"""Aerial Scan Radar Station Camp Hero, Montauk NY"" by tushevs (https://sketchfab.com/tushevs) is licensed under CC-BY-4.0 (http://creativecommons.org/licenses/by/4.0/) (Source: https://sketchfab.com/3d-models/aerial-scan-radar-station-camp-hero-montauk-ny-cfcc5b989fa5450999ec1126e786a51d)",internal
Radar Station,devils_slide_bunker_-_pacifica_ca.glb,"Devil's Slide Bunker - Pacifica, CA",Azad Balabanian (https://sketchfab.com/azadbal),CC-BY-4.0 (http://creativecommons.org/licenses/by/4.0/),https://sketchfab.com/3d-models/devils-slide-bunker-pacifica-ca-52982f5a24834be48dab4057d2df1c3d,"""Devil's Slide Bunker - Pacifica, CA"" by Azad Balabanian (https://sketchfab.com/azadbal) is licensed under CC-BY-4.0 (http://creativecommons.org/licenses/by/4.0/) (Source: https://sketchfab.com/3d-models/devils-slide-bunker-pacifica-ca-52982f5a24834be48dab4057d2df1c3d)",internal
